QS_World_Rank,University,Location,Academic_Reputation,Employer_Reputation,Citations_per_Paper,H-index_Citations,International Research Network,University_Score
50,King Abdulaziz University (KAU),Saudi Arabia,68.1,70.1,87,84.6,98.4,81.64
140,King Saud University,Saudi Arabia,53.7,64.4,86,80.1,86.5,74.14
145,King Abdullah University of Science & Technology (KAUST),Saudi Arabia,55.4,64,85.5,76.7,77.3,71.78
148,Khalifa University,UAE,59.6,62.6,79.3,71.1,80.2,70.56
200,Cairo University,Egypt,48.7,71.4,79.9,76,74.5,70.1
200,King Fahd University of Petroleum & Minerals,Saudi Arabia,54.5,70.9,76.7,67.6,65.9,67.12
200,University of Jordan,Jordan,53.1,70,80.9,68.2,57.4,65.92
250,American University of Beirut (AUB),Lebanon,50.2,76.1,68.3,61,37.8,58.68
250,Qatar University,Qatar,49.5,61.1,81.2,72.5,71.8,67.22
300,Jordan University of Science & Technology,Jordan,51.2,66.6,75,67.1,43.1,60.6
300,Lebanese University,Lebanon,63.2,66,56.8,49.8,22.4,51.64
300,United Arab Emirates University,UAE,51.1,68,69.7,60.6,57,61.28
400,"Ain Shams University in Cairo (ASU, Cairo)",Egypt,45,66.5,67.5,59,42.2,56.04
400,American University of the Middle East (Kuwait),Kuwait,62.1,62.4,44.2,40.6,40.5,49.96
400,Zayed University,UAE,50.7,58.7,63.7,56.7,56.3,57.22
400,American University of Sharjah,UAE,46.5,70,57.5,49.8,31.5,51.06
450,Hamad bin Khalifa University (Qatar),Qatar,47.7,41.2,86.5,70.1,68.8,62.86
450,Prince Mohammad Bin Fahd university (SA),Saudi Arabia,61.2,56.4,46.7,44.1,41.6,50
450,Princess Nourah bint Abdulrahman University (SA),Saudi Arabia,57.5,56,51.6,48.5,41.3,50.98
450,Princess Sumaya University for Technology,Jordan,52.1,65,54.5,51.6,21.2,48.88
500,Al Ain University,UAE,59.9,57.3,41.1,44.1,47.5,49.98
500,Beirut Arab University,Lebanon,56.7,58.9,46.6,42.4,43.6,49.64
500,University of Sharjah,UAE,43.1,59.7,67.4,58.6,56.9,57.14
550,Ajman University,UAE,56.9,64.7,34.2,38.7,27.8,44.46
550,Lebanese American University,Lebanon,45.2,67.6,51,48.5,31.1,48.68
550,The American University in Cairo,Egypt,48.2,71.5,43.1,36.5,31.1,46.08
600,Alexandria University,Egypt,41.7,58.8,66.4,55.9,39,52.36
600,Umm Al-Qura University (SA),Saudi Arabia,51.4,49,63,53.9,28.7,49.2
600,University of Baghdad,Iraq,42.3,64,55.8,45.7,34.9,48.54
600,Yarmouk University,Jordan,43.6,58.7,61.4,55.4,30.5,49.92
650,Birzeit university,Palestine,42.4,42.4,63.7,54.9,33.8,47.44
650,Helwan University,Egypt,40.7,52.8,65.6,57.7,44.2,52.2
650,Imam Mohammad Ibn Saud Islamic University – IMSIU,Saudi Arabia,51.5,44.4,57.5,51.6,35.4,48.08
650,Mansoura University,Egypt,37.1,49.3,77.7,69.6,45.7,55.88
680,Imam Abdulrahman Bin Faisal University (IAU),Saudi Arabia,41.8,59,52.2,50.4,35.7,47.82
680,Jouf University,Saudi Arabia,55.3,46.6,45.2,45.7,29.8,44.52
